,Id,Nutrients,Nutrients_count,Foods,Foods_count,Keep
1969,22393291.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['oil', 'dal', 'bean', 'pears', 'moth', 'cumin']",6,Yes
1970,22393531.pdf,"['protein', 'ash', 'fat']",3,"['grapes', 'mace', 'dal', 'rice', 'gram', 'cumin', 'rabbit', 'tuna']",8,Yes
1972,22399774.pdf,"['protein', 'ash', 'fat']",3,"['chicken', 'oil', 'mint', 'dal', 'gram', 'mint', 'pears', 'fish', 'moth', 'goat', 'rabbit']",11,Yes
1973,22402883.pdf,"['protein', 'ash', 'carbohydrate', 'energy']",4,"['chicken', 'oil', 'dal', 'egg', 'wheat', 'gram', 'pears', 'moth', 'milk', 'milk', 'lobster', 'tuna']",12,Yes
1975,22411945.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['dal', 'corn', 'pears', 'moth', 'lime', 'tuna']",6,Yes
1976,22413039.pdf,"['protein', 'fat', 'carbohydrate', 'energy']",4,"['oil', 'egg', 'rice', 'bean', 'gram', 'meat', 'fish', 'milk', 'milk']",9,Yes
1977,22413851.pdf,"['protein', 'ash', 'fat', 'carbohydrate', 'energy']",5,"['chicken', 'dal', 'egg', 'rice', 'gram', 'avocado', 'potatoes', 'meat', 'fish', 'milk', 'potato', 'milk', 'cheese']",13,Yes
1979,22419377.pdf,"['protein', 'fat', 'energy']",3,"['oil', 'barley', 'wheat', 'bean', 'gram', 'corn', 'mango', 'fish', 'seeds', 'sugar', 'tamarind', 'tuna']",12,Yes
1981,22438062.pdf,"['protein', 'ash', 'carbohydrate', 'energy']",4,"['oil', 'dal', 'gram', 'pears', 'tomato', 'potato', 'cucumber', 'sugar']",8,Yes
1982,22451420.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'ragi', 'gram', 'calf', 'rabbit']",5,Yes
1983,22452745.pdf,"['protein', 'fat']",2,"['oil', 'gram']",2,Yes
1984,22454108.pdf,"['protein', 'ash', 'energy']",3,"['dal', 'gram', 'pears', 'tuna']",4,Yes
1985,22457021.pdf,"['protein', 'ash', 'fat']",3,"['rice', 'gram', 'fish', 'cumin', 'goat', 'rabbit']",6,Yes
1986,22462494.pdf,"['protein', 'ash', 'energy']",3,"['oil', 'dates', 'gram', 'corn', 'potatoes', 'potato']",6,Yes
1987,22463384.pdf,"['protein', 'ash', 'fat', 'carbohydrate', 'energy']",5,"['dal', 'ragi', 'egg', 'rice', 'milk', 'milk', 'goat', 'sheep', 'beef', 'rabbit']",10,Yes
1988,22468357.pdf,"['ash', 'fat', 'carbohydrate', 'energy']",4,"['butter', 'gram', 'corn', 'milk', 'milk']",5,Yes
1989,22471443.pdf,"['protein', 'ash', 'fat']",3,"['mace', 'dates', 'gram', 'moth']",4,Yes
1990,22476718.pdf,"['protein', 'ash', 'fat']",3,"['mace', 'dal', 'ragi', 'egg', 'gram', 'pears', 'moth', 'tuna']",8,Yes
1991,22486165.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['gram', 'radish', 'rabbit']",3,Yes
1992,22495934.pdf,"['protein', 'ash', 'fat']",3,"['chicken', 'egg', 'gram', 'pears', 'goat']",5,Yes
1993,22496731.pdf,"['protein', 'ash', 'fat', 'carbohydrate', 'energy']",5,"['oil', 'dal', 'gram']",3,Yes
1994,22500091.pdf,"['protein', 'ash']",2,"['dal', 'egg', 'moth']",3,Yes
1995,22507225.pdf,"['protein', 'ash']",2,"['oil', 'egg', 'rice', 'pears']",4,Yes
1996,22509746.pdf,"['protein', 'ash', 'energy']",3,"['orange', 'dal', 'egg', 'dates', 'gram', 'tuna']",6,Yes
1997,22520038.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'dal', 'gram', 'radish', 'moth', 'milk', 'milk', 'rabbit']",8,Yes
1998,22523594.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['rice', 'gram', 'pears', 'sugar', 'rabbit']",5,Yes
1999,22525981.pdf,"['protein', 'ash']",2,"['mace', 'dal', 'pears']",3,Yes
2000,22526560.pdf,['protein'],1,"['dal', 'rice', 'gram']",3,Yes
2001,22527162.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['oil', 'beans', 'dal', 'rice', 'wheat', 'bean', 'gram', 'pears', 'potatoes', 'moth', 'milk', 'potato', 'milk', 'seafood', 'peanut', 'peanut']",16,Yes
2002,22528781.pdf,['ash'],1,"['gram', 'milk', 'milk']",3,Yes
2003,22528783.pdf,"['protein', 'ash', 'energy']",3,"['urad', 'dal', 'pears']",3,Yes
2004,22532118.pdf,"['ash', 'energy']",2,"['oil', 'orange', 'urad', 'dal', 'rice', 'soya', 'gram', 'fish', 'sugar', 'coconut', 'lime']",11,Yes
2005,22534013.pdf,"['protein', 'ash', 'energy']",3,"['dal', 'rice']",2,Yes
2006,22534276.pdf,['ash'],1,"['oil', 'dal', 'dates', 'gram', 'moth', 'pepper', 'cumin']",7,Yes
2007,22534743.pdf,"['protein', 'ash', 'energy']",3,"['garlic', 'dal', 'pears', 'moth']",4,Yes
2008,22534883.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'dal', 'egg', 'wheat', 'gram', 'pears', 'cumin']",7,Yes
2009,22536251.pdf,"['protein', 'ash', 'energy']",3,"['gram', 'calf']",2,Yes
2012,22555956.pdf,"['protein', 'ash']",2,"['mace', 'dal', 'gram', 'seeds']",4,Yes
2013,22561374.pdf,"['protein', 'fat']",2,"['gram', 'radish', 'moth', 'milk', 'milk', 'rabbit']",6,Yes
2014,22564286.pdf,"['ash', 'energy']",2,"['mint', 'mace', 'dal', 'gram', 'mint']",5,Yes
2015,22565472.pdf,['ash'],1,"['garlic', 'mace', 'mushroom']",3,Yes
2016,22570737.pdf,"['protein', 'ash', 'fat']",3,"['dates', 'gram', 'moth', 'rabbit']",4,Yes
2017,22574190.pdf,"['protein', 'ash']",2,"['mace', 'dal', 'ragi', 'dates', 'gram', 'pears', 'moth']",7,Yes
2018,22575487.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['rice', 'gram', 'meat', 'moth', 'milk', 'milk', 'cheese']",7,Yes
2019,22581111.pdf,"['protein', 'fat', 'carbohydrate']",3,"['oil', 'gram', 'lamb']",3,Yes
2020,22594438.pdf,"['fat', 'energy']",2,"['oil', 'gram', 'lime']",3,Yes
2021,22605938.pdf,"['protein', 'ash', 'energy']",3,"['mace', 'rice', 'gram', 'meat', 'ginger']",5,Yes
2022,22606263.pdf,"['protein', 'fat', 'carbohydrate', 'energy']",4,"['chicken', 'ragi', 'gram', 'squid', 'fish', 'lobster']",6,Yes
2023,22616574.pdf,"['moisture', 'protein', 'ash', 'fat']",4,"['oil', 'orange', 'dal', 'pears', 'walnut', 'walnut']",6,Yes
2024,22617116.pdf,"['protein', 'energy']",2,"['dal', 'rice', 'wheat', 'soya', 'maize', 'gram', 'pears', 'meat', 'milk', 'milk']",10,Yes
2025,22619530.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['mace', 'gram', 'moth']",3,Yes
2026,22621160.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'mace', 'dal', 'dates', 'gram', 'corn', 'meat', 'tuna']",8,Yes
2027,22639188.pdf,"['protein', 'ash']",2,"['mint', 'dal', 'mint', 'moth']",4,Yes
2028,22639387.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'gram', 'onion', 'sheep']",4,Yes
2029,22644122.pdf,"['ash', 'energy']",2,"['oil', 'gram']",2,Yes
2031,22662168.pdf,"['protein', 'ash', 'fat', 'dietary fibre', 'carbohydrate', 'energy']",6,"['dal', 'rice', 'gram', 'corn', 'meat', 'milk', 'milk', 'sugar']",8,Yes
2032,22666548.pdf,"['protein', 'fat', 'energy']",3,"['oil', 'dal', 'dates', 'corn', 'fish', 'rabbit']",6,Yes
2033,22675484.pdf,"['protein', 'ash']",2,"['gram', 'spinach', 'rabbit']",3,Yes
2034,22676837.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'garlic', 'dal', 'gram', 'tinda', 'moth']",6,Yes
2036,22687396.pdf,"['protein', 'ash', 'fat', 'carbohydrate', 'energy']",5,"['mace', 'rice', 'gram', 'radish', 'rabbit']",5,Yes
2037,22687411.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['mace', 'dal', 'meat']",3,Yes
2038,22688125.pdf,"['protein', 'ash']",2,"['dal', 'pears']",2,Yes
2039,22688468.pdf,"['protein', 'ash', 'fat', 'carbohydrate', 'energy']",5,"['gram', 'meat', 'milk', 'milk', 'lime']",5,Yes
2040,22690318.pdf,"['ash', 'energy']",2,"['orange', 'gram', 'pears']",3,Yes
2041,22700768.pdf,"['protein', 'fat', 'energy']",3,"['dal', 'gram', 'lamb', 'radish', 'pears', 'moth', 'milk', 'milk', 'goat', 'rabbit']",10,Yes
2043,22717950.pdf,"['protein', 'fat', 'energy']",3,"['dal', 'radish', 'rabbit']",3,Yes
2044,22719905.pdf,"['protein', 'ash', 'fat', 'dietary fibre', 'carbohydrate', 'energy']",6,"['oil', 'flour', 'egg', 'gram', 'potatoes', 'fish', 'beetroot', 'moth', 'milk', 'potato', 'milk', 'cheese', 'sugar', 'beef']",14,Yes
2045,22721567.pdf,"['fat', 'energy']",2,"['dal', 'gram', 'moth']",3,Yes
2047,22734611.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'orange', 'mace', 'dal', 'rice', 'gram', 'radish', 'moth', 'milk', 'cherry', 'milk', 'cumin', 'goat', 'rabbit']",14,Yes
2048,22742585.pdf,['ash'],1,"['mace', 'rice', 'gram']",3,Yes
2049,22742798.pdf,"['ash', 'fat', 'energy']",3,"['oil', 'gram', 'moth', 'milk', 'milk', 'pork']",6,Yes
2050,22743314.pdf,"['protein', 'ash', 'fat', 'carbohydrate', 'energy']",5,"['oil', 'egg', 'rice', 'wheat', 'bean', 'corn', 'zucchini', 'meat', 'cabbage', 'onion', 'milk', 'milk', 'carrot', 'pork']",14,Yes
2051,22743588.pdf,"['protein', 'ash']",2,"['mustard', 'oil', 'orange', 'maize', 'gram', 'spinach', 'corn', 'tomato', 'parsley', 'cabbage', 'ginger', 'potato', 'parsley']",13,Yes
2052,22744196.pdf,['ash'],1,"['ghee', 'oil', 'dal', 'peach', 'egg', 'bean', 'gram', 'tomato', 'seeds', 'moth', 'potato', 'peach', 'melon', 'sugar', 'sugarcane', 'sugarcane']",16,Yes
2053,22746971.pdf,"['fat', 'energy']",2,"['chicken', 'gram']",2,Yes
2054,22750818.pdf,"['protein', 'ash']",2,"['mace', 'dal', 'rice', 'gram', 'moth', 'lime']",6,Yes
2055,22751485.pdf,"['protein', 'fat', 'energy']",3,"['dal', 'dates', 'corn', 'pears', 'meat', 'moth', 'sugar']",7,Yes
2056,22751936.pdf,"['protein', 'ash']",2,"['oil', 'mace', 'gram', 'radish', 'moth', 'calf', 'rabbit', 'tuna']",8,Yes
2057,22760344.pdf,"['ash', 'fat', 'energy']",3,"['oil', 'dal', 'gram', 'sunflower', 'sunflower oil']",5,Yes
2058,22760687.pdf,"['protein', 'ash']",2,"['oil', 'rice', 'wheat', 'maize', 'gram', 'tomato', 'seeds']",7,Yes
2059,22760695.pdf,"['protein', 'fat', 'carbohydrate', 'energy']",4,"['oil', 'rice', 'dates', 'gram', 'meat', 'tomato', 'fish', 'sunflower', 'lime', 'sunflower oil']",10,Yes
2060,22761647.pdf,"['protein', 'ash']",2,"['oil', 'dal', 'gram', 'corn', 'pears', 'moth', 'rabbit']",7,Yes
2061,22763947.pdf,"['protein', 'ash', 'fat']",3,"['urad', 'dates', 'gram', 'pears', 'moth']",5,Yes
2063,22773077.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['oil', 'mace', 'dal', 'dates', 'gram', 'meat']",6,Yes
2064,22773702.pdf,['fat'],1,"['mace', 'ragi', 'gram', 'chana', 'cumin', 'turmeric']",6,Yes
2065,22773748.pdf,"['protein', 'ash', 'carbohydrate', 'energy']",4,"['barley', 'ragi', 'rice', 'maize', 'gram', 'pears', 'seeds', 'potato', 'sugar']",9,Yes
2066,22775293.pdf,"['ash', 'energy']",2,"['dal', 'rice', 'gram', 'corn', 'lime']",5,Yes
2067,22790570.pdf,"['moisture', 'protein', 'ash', 'fat', 'carbohydrate', 'energy']",6,"['butter', 'egg', 'rice', 'gram', 'beef']",5,Yes
2068,22800437.pdf,"['protein', 'fat', 'carbohydrate', 'energy']",4,"['flour', 'garlic', 'beans', 'dal', 'egg', 'rice', 'dates', 'bean', 'pears', 'meat', 'tomato', 'fish', 'sesame', 'seeds', 'cabbage', 'moth', 'onion', 'milk', 'banana', 'milk', 'carrot', 'sugar', 'beef']",23,Yes
2069,22806765.pdf,"['protein', 'ash', 'fat', 'carbohydrate', 'energy']",5,"['oil', 'mace', 'gram', 'sugar', 'lime', 'goat', 'rabbit']",7,Yes
2070,22810201.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['oil', 'mace', 'dal', 'egg', 'gram', 'pears']",6,Yes
2071,22815835.pdf,"['protein', 'ash']",2,"['chicken', 'rice', 'gram', 'rabbit']",4,Yes
2072,22818824.pdf,"['protein', 'ash', 'fat', 'carbohydrate', 'energy']",5,"['oil', 'orange', 'egg', 'gram', 'pears', 'meat', 'fish', 'pineapple', 'sugar', 'tuna']",10,Yes
2073,22826467.pdf,"['protein', 'ash']",2,"['gram', 'radish', 'moth']",3,Yes
2074,22829851.pdf,"['protein', 'ash']",2,"['oil', 'mace', 'pears', 'moth', 'milk', 'milk']",6,Yes
2075,22829854.pdf,"['protein', 'ash', 'fat', 'carbohydrate', 'energy']",5,"['dal', 'mushroom', 'gram', 'bamboo']",4,Yes
2076,22834642.pdf,"['ash', 'energy']",2,"['oil', 'dal', 'ragi', 'corn', 'chana', 'tuna']",6,Yes
2077,22837129.pdf,"['protein', 'energy']",2,"['mace', 'dal', 'pears', 'moth', 'tuna']",5,Yes
2078,22837473.pdf,"['protein', 'fat']",2,"['dal', 'gram', 'rabbit']",3,Yes
2079,22838184.pdf,"['protein', 'fat', 'energy']",3,"['mace', 'dal', 'gram']",3,Yes
2080,22843296.pdf,['fat'],1,"['oil', 'dal', 'fish', 'sugar', 'coconut']",5,Yes
2081,22851944.pdf,"['protein', 'ash', 'fat']",3,"['ragi', 'gram', 'milk', 'milk']",4,Yes
2082,22852060.pdf,"['moisture', 'ash', 'fat']",3,"['chicken', 'oil', 'dal', 'egg', 'lamb', 'meat', 'sheep', 'beef', 'calf', 'pork']",10,Yes
2083,22864742.pdf,"['ash', 'fat', 'energy']",3,"['mace', 'dal', 'gram', 'corn', 'meat', 'ginger']",6,Yes
2084,22878937.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['mace', 'dates', 'pears', 'lime']",4,Yes
2087,22889387.pdf,"['protein', 'ash']",2,"['oil', 'orange', 'mace', 'gram', 'moth', 'beef', 'calf']",7,Yes
2089,22917928.pdf,"['protein', 'ash']",2,"['oil', 'flour', 'mace', 'dal', 'ragi', 'egg', 'rice', 'mushroom', 'gram', 'corn', 'radish', 'pears', 'moth', 'lime', 'goat', 'rabbit']",16,Yes
2090,22920556.pdf,"['protein', 'ash']",2,"['dal', 'goat', 'sheep', 'calf', 'tuna']",5,Yes
2091,22923096.pdf,"['moisture', 'protein', 'ash', 'fat', 'carbohydrate', 'energy']",6,"['chicken', 'oil', 'beans', 'dal', 'rice', 'bean', 'gram', 'palm oil']",8,Yes
2092,22930344.pdf,"['moisture', 'protein']",2,"['chicken', 'oil', 'mace', 'egg', 'gram', 'corn', 'pears', 'meat']",8,Yes
2094,22942490.pdf,"['protein', 'ash', 'energy']",3,"['mace', 'dal', 'gram']",3,Yes
2095,22945854.pdf,"['protein', 'ash', 'fat']",3,"['chicken', 'oil', 'ragi', 'egg', 'seeds', 'lime']",6,Yes
2096,22948980.pdf,"['protein', 'ash']",2,"['dal', 'ragi', 'gram']",3,Yes
2097,22950648.pdf,"['moisture', 'protein', 'ash', 'fat', 'energy']",5,"['mustard', 'oil', 'beans', 'rice', 'wheat', 'bean', 'maize', 'spinach', 'seeds', 'cabbage', 'potato', 'sugar']",12,Yes
2098,22952836.pdf,"['ash', 'fat', 'energy']",3,"['oil', 'dal', 'rice', 'gram', 'fish']",5,Yes
2099,22960806.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['oil', 'dal', 'rice', 'gram', 'sugar']",5,Yes
2100,22961413.pdf,"['ash', 'fat', 'energy']",3,"['oil', 'mace', 'rice', 'gram', 'corn', 'meat', 'rabbit']",7,Yes
2101,22963024.pdf,"['ash', 'fat']",2,"['dal', 'rice', 'dates', 'gram', 'calf']",5,Yes
2104,22985332.pdf,['ash'],1,"['oil', 'dal', 'rice', 'pears']",4,Yes
2105,22986924.pdf,"['moisture', 'protein', 'ash', 'fat', 'carbohydrate', 'energy']",6,"['oil', 'flour', 'mint', 'dal', 'gram', 'corn', 'mint', 'avocado', 'seeds', 'pepper', 'peanut', 'peanut', 'rabbit']",13,Yes
2106,22989052.pdf,"['moisture', 'protein', 'fat']",3,"['oil', 'mace', 'ragi', 'wheat', 'maize', 'corn', 'meat', 'millet', 'sugar']",9,Yes
2107,22990582.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'orange', 'mace', 'dal', 'ragi', 'rice', 'gram', 'corn', 'meat', 'sugar']",10,Yes
2108,23000832.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['corn', 'pears', 'meat']",3,Yes
2109,23001058.pdf,"['protein', 'ash']",2,"['chicken', 'oil', 'dal', 'rice', 'pears', 'milk', 'milk', 'rabbit']",8,Yes
2110,23001625.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['dal', 'gram', 'lamb', 'radish', 'moth', 'milk', 'milk', 'lime', 'goat', 'sheep', 'rabbit']",11,Yes
2111,23007116.pdf,"['protein', 'fat', 'carbohydrate']",3,"['oil', 'ragi', 'sunflower', 'safflower oil', 'sunflower oil', 'salmon']",6,Yes
2112,23011139.pdf,"['protein', 'ash', 'energy']",3,"['dates', 'gram', 'milk', 'milk']",4,Yes
2113,23012328.pdf,"['protein', 'ash']",2,"['gram', 'pears', 'moth', 'lime']",4,Yes
2114,23016125.pdf,"['protein', 'fat', 'carbohydrate', 'energy']",4,"['potatoes', 'meat', 'moth', 'milk', 'potato', 'milk', 'cheese', 'sugar']",8,Yes
2115,23023262.pdf,"['protein', 'ash', 'fat']",3,"['chicken', 'oil', 'dal']",3,Yes
2116,23029248.pdf,"['protein', 'ash']",2,"['egg', 'gram', 'goat']",3,Yes
2117,23034628.pdf,"['protein', 'fat']",2,"['dal', 'chilli', 'rice', 'gram', 'pears', 'fish', 'cherry']",7,Yes
2118,23035630.pdf,['fat'],1,"['oil', 'wheat', 'bean', 'maize', 'gram', 'tomato', 'seeds', 'potato', 'cucumber', 'pepper', 'strawberry', 'tuna']",12,Yes
2119,23037161.pdf,"['protein', 'ash', 'energy']",3,"['mace', 'dal', 'ragi', 'gram', 'corn', 'meat', 'onion', 'rabbit']",8,Yes
2120,23042799.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['oil', 'egg']",2,Yes
2121,23046573.pdf,"['protein', 'ash', 'fat']",3,"['rice', 'gram', 'radish', 'pears', 'milk', 'milk', 'goat', 'rabbit']",8,Yes
2122,23046946.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['dal', 'ragi', 'corn']",3,Yes
2123,23051747.pdf,"['protein', 'ash']",2,"['ragi', 'gram', 'radish', 'rabbit']",4,Yes
2124,23054701.pdf,"['protein', 'ash']",2,"['chicken', 'oil', 'mace', 'dal', 'dates', 'gram', 'moth']",7,Yes
2125,23057670.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'dal', 'egg', 'gram', 'radish', 'pears', 'rabbit']",7,Yes
2126,23071218.pdf,"['protein', 'ash']",2,"['oil', 'barley', 'dal', 'ragi', 'egg', 'rice', 'dates', 'wheat', 'maize', 'gram', 'pears', 'sugar', 'tuna']",13,Yes
2127,23071712.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['dal', 'pears', 'rabbit']",3,Yes
2129,23077185.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['gourd', 'dal', 'rabbit']",3,Yes
2130,23090587.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['oil', 'barley', 'rice', 'wheat', 'maize', 'corn', 'seeds', 'goat', 'rabbit']",9,Yes
2131,23090713.pdf,['ash'],1,"['mace', 'gram']",2,Yes
2132,23108529.pdf,['fat'],1,"['oil', 'lettuce', 'mushroom', 'gram', 'tomato', 'pepper', 'tuna']",7,Yes
2133,23110149.pdf,"['protein', 'ash', 'fat']",3,"['mace', 'dal', 'egg', 'corn', 'meat', 'calf']",6,Yes
2134,23111949.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['dal', 'gram']",2,Yes
2135,23113683.pdf,"['protein', 'ash', 'fat', 'dietary fibre', 'carbohydrate', 'energy']",6,"['oil', 'barley', 'flour', 'wheat', 'bean', 'gram', 'milk', 'amaranth', 'milk', 'lime']",10,Yes
2136,23118539.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['orange', 'dal', 'ragi', 'rice', 'moth']",5,Yes
2137,23121424.pdf,"['protein', 'ash', 'fat', 'carbohydrate', 'energy']",5,"['dal', 'sugar']",2,Yes
2138,23123716.pdf,"['protein', 'ash']",2,"['mace', 'soya', 'meat']",3,Yes
2139,23135603.pdf,"['protein', 'ash', 'fat', 'carbohydrate', 'energy']",5,"['wheat', 'bean', 'maize', 'gram', 'corn', 'pears', 'tomato', 'potato', 'cucumber', 'sugar']",10,Yes
2140,23139142.pdf,['moisture'],1,"['grapes', 'oil', 'dates', 'bean', 'maize', 'gram', 'pears', 'tomato', 'potato', 'watermelon', 'melon', 'lime']",12,Yes
2141,23144880.pdf,"['ash', 'fat', 'energy']",3,"['dal', 'gram', 'pears', 'moth']",4,Yes
2142,23148671.pdf,"['protein', 'ash', 'carbohydrate']",3,"['mace', 'rice', 'gram', 'sunflower', 'cheese']",5,Yes
2143,23149714.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'mace', 'gram', 'fish', 'potato']",5,Yes
2145,23152383.pdf,"['ash', 'fat', 'energy']",3,"['oil', 'rice', 'lime']",3,Yes
2146,23155487.pdf,"['protein', 'ash']",2,"['mace', 'gram', 'pears', 'milk', 'milk', 'goat', 'rabbit']",7,Yes
2147,23161345.pdf,"['protein', 'ash', 'energy']",3,"['dal', 'ragi', 'moth']",3,Yes
2148,23166687.pdf,"['protein', 'ash', 'fat']",3,"['egg', 'gram']",2,Yes
2149,23166711.pdf,"['ash', 'fat', 'carbohydrate', 'energy']",4,"['chicken', 'oil', 'pears', 'moth', 'lime']",5,Yes
2150,23173065.pdf,"['protein', 'ash']",2,"['mace', 'dal', 'dates', 'gram', 'pears']",5,Yes
2151,23173176.pdf,"['protein', 'ash', 'fat', 'carbohydrate', 'energy']",5,"['gram', 'milk', 'milk', 'sugar']",4,Yes
2152,23179349.pdf,"['protein', 'fat', 'carbohydrate', 'energy']",4,"['oil', 'dal', 'gram', 'corn', 'meat', 'sugar', 'lime']",7,Yes
2153,23180041.pdf,['ash'],1,"['dal', 'gram']",2,Yes
2154,23181558.pdf,"['protein', 'ash', 'fat', 'dietary fibre', 'carbohydrate', 'energy']",6,"['orange', 'dal', 'ragi', 'egg', 'gram', 'pears', 'rajma', 'tuna']",8,Yes
2155,23185629.pdf,"['moisture', 'energy']",2,"['oil', 'dal']",2,Yes
2156,23187137.pdf,"['protein', 'fat']",2,"['ragi', 'moth', 'lime']",3,Yes
2157,23188679.pdf,['ash'],1,"['oil', 'dal', 'rice', 'gram', 'pears', 'fish', 'moth']",7,Yes
2158,23192844.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['chicken', 'egg', 'wheat', 'gram', 'pears', 'fish', 'moth', 'tuna']",8,Yes
2159,23201769.pdf,"['protein', 'ash', 'fat', 'carbohydrate']",4,"['oil', 'garlic', 'mace', 'onion']",4,Yes
2160,23202668.pdf,['ash'],1,"['oil', 'mint', 'dal', 'ragi', 'rice', 'gram', 'mint']",7,Yes
2161,23207775.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'mace', 'dal', 'gram', 'pears', 'lime']",6,Yes
2162,23210766.pdf,"['ash', 'energy']",2,"['dates', 'gram']",2,Yes
2163,23234764.pdf,"['moisture', 'protein', 'ash', 'fat', 'energy']",5,"['chicken', 'oil', 'barley', 'garlic', 'beans', 'peas', 'lentils', 'wheat', 'bean', 'maize', 'gram', 'sorghum', 'pears', 'cabbage', 'ginger', 'moth', 'milk', 'milk', 'sugar']",19,Yes
2164,23236421.pdf,"['protein', 'ash']",2,"['chicken', 'oil', 'orange', 'dal', 'bean', 'gram', 'pears', 'milk', 'milk']",9,Yes
2165,23237638.pdf,"['protein', 'ash', 'energy']",3,"['oil', 'barley', 'mint', 'wheat', 'gram', 'sorghum', 'mint', 'pears', 'meat', 'moth']",10,Yes
2166,23241228.pdf,"['protein', 'ash', 'fat']",3,"['gram', 'pears']",2,Yes
2167,23249430.pdf,"['protein', 'ash']",2,"['mace', 'gram']",2,Yes
2168,23250541.pdf,"['protein', 'ash', 'fat', 'carbohydrate', 'energy']",5,"['egg', 'gram', 'pears', 'tuna']",4,Yes
2169,23250808.pdf,"['protein', 'ash', 'fat']",3,"['corn', 'meat', 'seeds']",3,Yes
2170,23254772.pdf,"['protein', 'fat', 'energy']",3,"['oil', 'rice', 'gram']",3,Yes
2171,23256144.pdf,"['ash', 'energy']",2,"['oil', 'lentils', 'dal', 'ragi', 'egg', 'rice', 'gram', 'meat', 'milk', 'milk', 'sugar']",11,Yes
2172,23257276.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['butter', 'chicken', 'oil', 'barley', 'mint', 'garlic', 'beans', 'peas', 'dal', 'ragi', 'egg', 'rice', 'wheat', 'soya', 'bean', 'maize', 'gram', 'lamb', 'corn', 'sorghum', 'mint', 'meat', 'tomato', 'millet', 'seeds', 'moth', 'milk', 'crab', 'banana', 'milk', 'seafood', 'soyabean', 'carrot', 'sugar', 'vinegar', 'quinoa', 'clove', 'lime', 'walnut', 'walnut', 'goat', 'sheep', 'beef', 'calf', 'rabbit', 'quinoa', 'salmon', 'tilapia', 'rohu']",49,Yes
2173,23263761.pdf,"['protein', 'ash', 'carbohydrate', 'energy']",4,"['chicken', 'oil', 'dal', 'gram', 'cabbage', 'guava', 'banana', 'sugar', 'clove']",9,Yes
2174,23264061.pdf,"['moisture', 'ash', 'fat']",3,"['mustard', 'oil', 'mace', 'dal', 'rice', 'wheat', 'maize', 'gram', 'millet', 'seeds', 'groundnut', 'peanut', 'cheese', 'sugar', 'sugarcane', 'peanut', 'sugarcane']",17,Yes
2175,23264483.pdf,"['protein', 'ash', 'fat', 'carbohydrate', 'energy']",5,"['dal', 'ragi', 'egg', 'dates', 'pears']",5,Yes
2176,23265625.pdf,"['moisture', 'protein', 'ash', 'fat', 'carbohydrate', 'energy']",6,"['oil', 'orange', 'mace', 'urad', 'dal', 'bean', 'gram', 'avocado', 'pears', 'onion', 'sugar', 'walnut', 'walnut']",13,Yes
2177,23267126.pdf,"['protein', 'ash']",2,"['dal', 'dates', 'bean', 'gram']",4,Yes
2178,23271679.pdf,"['protein', 'ash', 'fat']",3,"['dal', 'rice', 'gram', 'milk', 'milk', 'cheese', 'sugar']",7,Yes
2179,23279941.pdf,"['protein', 'ash', 'fat', 'carbohydrate', 'energy']",5,"['lamb', 'meat', 'moth', 'lime']",4,Yes
2180,23283050.pdf,"['protein', 'ash', 'fat', 'carbohydrate', 'energy']",5,"['dal', 'gram', 'moth']",3,Yes
