,Id,Nutrients,Nutrients_count,Foods,Foods_count,Keep
161,11379788.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'mace', 'dal', 'corn', 'pears', 'meat', 'rabbit']",7,Yes
162,11385055.pdf,"['ash', 'fat', 'carbohydrate', 'energy']",4,"['chicken', 'mustard', 'oil', 'beans', 'lettuce', 'egg', 'wheat', 'bean', 'potatoes', 'milk', 'potato', 'cherry', 'milk', 'strawberry', 'cheese', 'beef']",16,Yes
163,11385076.pdf,"['protein', 'ash', 'fat', 'carbohydrate', 'energy']",5,"['mace', 'gram', 'moth', 'calf']",4,Yes
165,11389587.pdf,"['protein', 'ash']",2,"['chicken', 'orange', 'rice', 'gram']",4,Yes
166,11393235.pdf,"['protein', 'ash', 'fat', 'carbohydrate']",4,"['chicken', 'oil', 'mace', 'ragi', 'rice', 'gram', 'meat', 'sugar', 'pork']",9,Yes
169,11403125.pdf,['ash'],1,"['oil', 'orange', 'dal', 'lettuce', 'egg', 'gram', 'milk', 'apples', 'milk']",9,Yes
170,11414017.pdf,['fat'],1,"['oil', 'flour']",2,Yes
171,11415487.pdf,"['protein', 'fat', 'dietary fibre', 'carbohydrate', 'energy']",5,"['orange', 'lettuce', 'gram', 'pears', 'potatoes', 'meat', 'tomato', 'milk', 'apples', 'potato', 'milk', 'cheese', 'carrot', 'sugar']",14,Yes
172,11423575.pdf,"['protein', 'ash', 'fat']",3,"['mace', 'rice', 'radish', 'goat']",4,Yes
173,11423579.pdf,"['protein', 'ash']",2,"['dal', 'dates', 'gram']",3,Yes
174,11427389.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'dal', 'dates', 'gram', 'lime', 'rabbit', 'tuna']",7,Yes
175,11453795.pdf,"['protein', 'ash', 'fat']",3,"['chicken', 'dal', 'meat', 'fish', 'milk', 'milk', 'sugar', 'lime', 'beef']",9,Yes
176,11456185.pdf,"['protein', 'ash', 'fat', 'energy']",4,"['oil', 'dal', 'rice', 'milk', 'milk', 'cheese']",6,Yes
179,11479183.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'mint', 'dal', 'gram', 'mint', 'pears', 'seafood']",7,Yes
180,11488308.pdf,['protein'],1,"['gram', 'pears', 'moth']",3,Yes
181,11488449.pdf,"['protein', 'ash']",2,"['mace', 'dal', 'rice', 'pears']",4,Yes
182,11496995.pdf,"['ash', 'energy']",2,"['oil', 'gram']",2,Yes
183,11503075.pdf,"['protein', 'fat', 'energy']",3,"['butter', 'oil', 'mace', 'ragi', 'gram', 'tomato', 'moth', 'sheep', 'tuna']",9,Yes
185,11508334.pdf,"['fat', 'dietary fibre', 'carbohydrate']",3,"['mace', 'dal', 'soya', 'bean', 'gram', 'tomato', 'milk', 'milk']",8,Yes
186,11509059.pdf,"['protein', 'ash', 'fat']",3,"['oil', 'dal', 'chilli', 'dates', 'gram', 'fish', 'moth', 'lime']",8,Yes
